0 			1 				2
1 			2 				3
2 			6 				3
3 			18 				3.22222222222222
4 			58 				3.20689655172414
5 			186 			3.23655913978495
6 			602 			3.23255813953488
7 			1946 			3.23638232271326
8 			6298 			3.23563035884408
9 			20378 			3.23613701050152
10 			65946 			3.23601128195797
11 			213402 			3.23608026166578
12 			690586 			3.23606038929257
13 			2234778 		3.23606998100035
14 			7231898 		3.23606693567857
15 			23402906 		3.23606828998074
16 			75733402 		3.23606783173427
17 			245078426 		3.23606802501661
18 			793090458 		3.2360679568282
19 			2566494618 		3.23606798461636
