0 			1 			2
1 			2 			2
2 			4 			2.5
3 			10 			2.4
4 			24 			2.25
5 			54 			2
6 			108 			2.01851851851852
7 			218 			2.1651376146789
8 			472 			2.18220338983051
9 			1030 			2.13980582524272
10 			2204 			2.11705989110708
11 			4666 			2.11744534933562
12 			9880 			2.13016194331984
13 			21046 			2.13684310557826
14 			44972 			2.13310504313795
15 			95930 			2.12880225164182
16 			204216 			2.12859913033259
17 			434694 			2.13018813234137
18 			925980 			2.13108058489384
19 			1973338 		2.13083415005437
20 			4204856 		2.13028888504149
21 			8957558 		2.13014975733342
22 			19080940 		2.13033162936417
23 			40648730 		2.13047207132917
24 			86600984 		2.13045900263674
25 			184499846 		2.13039230395889
26 			393057052 		2.13036569052576
27 			837355258 		2.13038274371235
28 			1783887192 		2.130402724479
