0 			1 			2
1 			2 			3
2 			6 			3
3 			18 			3.33333333333333
4 			60 			3.3
5 			198 			3.45454545454545
6 			684 			3.39473684210526
7 			2322 			3.48837209302326
8 			8100 			3.42
9 			27702 			3.49707602339181
10 			96876 			3.42642140468227
11 			331938 			3.49926793557833
12 			1161540 		3.42803347280335
13 			3981798 		3.49981691688026
14 			13935564 		3.42843691148776
15 			47777202 		3.49995422502975
16 			167218020 		3.4285377975412
17 			573313302 		3.49998855599551
18 			2006589996 		3.42856302070391
